neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,host_is_superhost,host_identity_verified,host_response_time,host_since,id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
Desconocido,CABANYAL-CANYAMELAR,POBLATS MARITIMS,Room in hotel,Private room,1 private bath,"[""Wifi"", ""Lockbox"", ""Self check-in"", ""Air conditioning"", ""Fire extinguisher""]",t,20/06/2025,26/05/2024,26/05/2024,Sin licencia,t,f,t,within an hour,14/03/2024,1.11223e+18,567016861,39.46354,-0.32319,2.0,1.0,1.0,1.0,119.0,1.0,365.0,1.0,2.0,365,365,1.3,365.0,16,38,66,76,1.0,0.0,0.0,0.08,4.7,4.8,4.7,4.0,4.8,4.0,4.6,4.0,0.0,0.3,0.0
Desconocido,LA ROQUETA,EXTRAMURS,Private room in rental unit,Private room,2 baths,"[""Bathtub"", ""Cleaning products"", ""Kitchen"", ""Hot water"", ""Washer"", ""Bed linens"", ""Heating"", ""Hair dryer"", ""Shampoo"", ""Body soap"", ""Room-darkening shades"", ""Essentials"", ""Conditioner"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""Iron"", ""TV"", ""Wifi"", ""Lock on bedroom door""]",t,20/06/2025,18/03/2024,18/03/2024,Sin licencia,f,f,t,No especificado,08/11/2019,1.11223e+18,308165913,39.46611384,-0.379761569,3.0,1.0,2.0,2.0,104.0,2.0,365.0,1.0,2.0,365,365,2.0,365.0,0,0,0,0,1.0,0.0,0.0,0.07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,2.0,0.0
Desconocido,LA LLUM,L'OLIVERETA,Entire rental unit,Entire home/apt,1 bath,"[""High chair - available upon request"", ""Ceiling fan"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Heating - split type ductless system"", ""Washer"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Shampoo"", ""Free dryer \u2013 In unit"", ""Self check-in"", ""Coffee maker: Nespresso"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Smart lock"", ""Clothing storage: closet"", ""Dining table"", ""Blender"", ""Iron"", ""Air conditioning"", ""Shower gel"", ""TV"", ""Wifi"", ""Crib - available upon request"", ""Long term stays allowed"", ""Microwave"", ""Other induction stove"", ""Toaster"", ""Hot water kettle""]",t,20/06/2025,04/12/2024,04/06/2025,VT-53886-V,f,f,t,within an hour,08/11/2023,1.1123e+18,545540906,39.46787194,-0.413282255,5.0,1.0,2.0,0.0,111.0,4.0,365.0,4.0,6.0,365,365,4.5,365.0,12,42,72,170,11.0,11.0,1.0,1.66,5.0,5.0,4.73,5.0,5.0,4.82,4.82,3.0,3.0,0.0,0.0
Desconocido,LA LLUM,L'OLIVERETA,Entire rental unit,Entire home/apt,1 bath,"[""Ceiling fan"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Heating - split type ductless system"", ""Washer"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Toaster"", ""Shampoo"", ""Self check-in"", ""Coffee maker: Nespresso"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Smart lock"", ""Clothing storage: closet"", ""Dining table"", ""Blender"", ""High chair"", ""Iron"", ""Free parking on premises"", ""Air conditioning"", ""Shower gel"", ""TV"", ""Wifi"", ""Crib - available upon request"", ""Microwave"", ""Other induction stove"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,06/06/2024,10/06/2025,VT-53907-V,f,f,t,within an hour,08/11/2023,1.11232e+18,545540906,39.46765,-0.41175,5.0,1.0,2.0,0.0,105.0,4.0,365.0,4.0,6.0,365,365,4.5,365.0,24,54,84,182,19.0,18.0,3.0,1.5,5.0,4.95,5.0,4.95,4.95,4.68,4.95,3.0,3.0,0.0,0.0
Desconocido,LA PETXINA,EXTRAMURS,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""TV"", ""Wifi"", ""Shampoo"", ""Essentials"", ""Fire extinguisher"", ""Dryer"", ""Hot water"", ""Iron"", ""Self check-in"", ""Air conditioning"", ""Washer"", ""Smart lock"", ""Hangers"", ""Hair dryer""]",t,20/06/2025,29/03/2024,22/07/2024,Sin licencia,t,f,t,No especificado,19/09/2019,1.11239e+18,296291339,39.47563,-0.39206,4.0,1.0,1.0,2.0,126.0,11.0,60.0,5.0,11.0,60,60,10.0,60.0,7,28,41,41,15.0,2.0,0.0,1.0,4.8,5.0,4.8,4.73,5.0,4.6,4.87,4.0,4.0,0.0,0.0
Desconocido,TORREFIEL,RASCANYA,Private room in rental unit,Private room,1 bath,"[""Kitchen"", ""TV"", ""Wifi"", ""Air conditioning"", ""Washer""]",t,20/06/2025,Sin reseña,Sin reseña,Sin licencia,f,f,t,a few days or more,14/03/2024,1.11245e+18,567090524,39.49484178,-0.380277559,2.0,1.0,1.0,2.0,50.0,1.0,365.0,1.0,1.0,365,365,1.0,365.0,29,59,89,269,0.0,0.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.7,4.6,1.0,0.0,1.0,0.0
Desconocido,RUSSAFA,L'EIXAMPLE,Private room in rental unit,Private room,2 baths,"[""Cleaning products"", ""Wifi"", ""Shampoo"", ""Conditioner"", ""Room-darkening shades"", ""Lock on bedroom door"", ""Clothing storage"", ""Laundromat nearby"", ""Hot water"", ""First aid kit"", ""Body soap"", ""Bed linens"", ""Hangers""]",t,20/06/2025,19/03/2024,20/05/2025,Sin licencia,f,f,t,within an hour,31/05/2022,1.11287e+18,461923737,39.460988,-0.3780194,1.0,1.0,1.0,1.0,57.0,1.0,365.0,1.0,1.0,365,365,1.0,365.0,30,60,90,267,22.0,12.0,0.0,1.44,4.73,4.82,4.82,4.73,4.86,4.68,4.64,2.0,0.0,2.0,0.0
Desconocido,CAMI FONDO,CAMINS AL GRAU,Entire rental unit,Entire home/apt,2 baths,"[""Bathtub"", ""Cleaning products"", ""Kitchen"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Heating"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Dishwasher"", ""Toaster"", ""Outdoor playground"", ""Laundromat nearby"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Baking sheet"", ""Pets allowed"", ""Clothing storage: closet"", ""Essentials"", ""Dining table"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Blender"", ""Elevator"", ""Paid parking on premises"", ""Iron"", ""Stainless steel oven"", ""Free street parking"", ""TV"", ""Wifi"", ""Mosquito net"", ""Central air conditioning"", ""Microwave"", ""Coffee maker: drip coffee maker"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,23/04/2024,21/05/2025,Sin licencia,f,f,t,within a few hours,05/08/2016,1.11289e+18,88164671,39.4649316,-0.349938956,6.0,1.0,3.0,6.0,165.0,4.0,365.0,4.0,4.0,365,365,4.0,365.0,0,0,0,89,24.0,20.0,1.0,1.7,4.38,4.58,3.88,4.46,4.54,4.63,4.42,1.0,1.0,0.0,0.0
Desconocido,MONT-OLIVET,QUATRE CARRERES,Entire rental unit,Entire home/apt,2.5 baths,"[""Bathtub"", ""Kitchen"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hair dryer"", ""Dishwasher"", ""Stove"", ""Crib"", ""Cooking basics"", ""Freezer"", ""Essentials"", ""Coffee maker"", ""Elevator"", ""High chair"", ""Air conditioning"", ""TV"", ""Wifi""]",t,20/06/2025,10/04/2024,04/12/2024,Sin licencia,f,f,t,within an hour,08/02/2014,1.11291e+18,12044109,39.45997264,-0.366222903,6.0,1.0,2.0,2.0,104.0,1.0,242.2,1.0,4.7,1125,1125,16.5,1125.0,0,0,0,0,7.0,5.0,0.0,0.48,4.71,4.57,4.71,5.0,4.43,5.0,4.71,4.7,2.9,0.0,0.0
Desconocido,CIUTAT JARDI,ALGIROS,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""TV"", ""Wifi"", ""Dedicated workspace"", ""Washer"", ""Cooking basics""]",t,20/06/2025,Sin reseña,Sin reseña,Sin licencia,f,f,t,No especificado,11/04/2023,1.11304e+18,509610783,39.47108764,-0.348492143,4.0,1.0,2.0,3.0,117.0,7.0,30.0,7.0,7.0,30,30,7.0,30.0,0,0,0,0,0.0,0.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.7,4.6,1.0,1.0,0.0,0.0
Desconocido,BENICALAP,BENICALAP,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Exterior security cameras on property"", ""Kitchen"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Shampoo"", ""Coffee"", ""Body soap"", ""Cooking basics"", ""Coffee maker"", ""Elevator"", ""Air conditioning"", ""Shower gel"", ""TV"", ""Wifi"", ""Microwave"", ""Host greets you""]",t,20/06/2025,18/04/2024,19/04/2025,VT-56108-V,t,f,t,within an hour,14/04/2022,1.11315e+18,454277603,39.48999341,-0.383750613,2.0,1.0,1.0,2.0,104.0,1.0,200.0,1.0,1.0,200,200,1.0,200.0,0,0,0,0,32.0,24.0,0.0,2.24,4.66,4.94,4.81,4.97,4.78,4.34,4.66,3.0,3.0,0.0,0.0
"València, Comunidad Valenciana, Spain",CABANYAL-CANYAMELAR,POBLATS MARITIMS,Entire home,Entire home/apt,1 bath,"[""Bathtub"", ""Cleaning products"", ""Backyard"", ""Kitchen"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Heating"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Crib"", ""Body soap"", ""Cooking basics"", ""Coffee maker"", ""High chair"", ""Air conditioning"", ""Beach access \u2013 Beachfront"", ""TV"", ""Wifi""]",t,20/06/2025,31/03/2024,02/06/2025,VT 51324 V,t,t,t,within an hour,08/06/2023,1.11317e+18,518868412,39.4712628,-0.330142571,4.0,1.0,1.0,2.0,156.0,3.0,10.0,1.0,4.0,10,10,3.3,10.0,16,25,34,34,15.0,8.0,2.0,1.01,4.93,4.93,4.8,5.0,5.0,4.8,4.73,1.0,1.0,0.0,0.0
Desconocido,TORMOS,LA SAIDIA,Entire rental unit,Entire home/apt,1 bath,"[""Washer"", ""Shower gel"", ""TV"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Coffee"", ""Oven"", ""Coffee maker"", ""Elevator"", ""Microwave"", ""Other electric stove"", ""Hot water"", ""Refrigerator"", ""Air conditioning"", ""Body soap"", ""Hangers"", ""Hair dryer""]",t,20/06/2025,03/04/2024,17/03/2025,VT-56109-V,t,f,t,within an hour,14/04/2022,1.1132e+18,454277603,39.48915,-0.38168,2.0,1.0,1.0,2.0,104.0,1.0,200.0,1.0,1.0,200,200,1.0,200.0,0,0,0,0,20.0,13.0,0.0,1.35,4.7,4.85,4.8,4.95,5.0,4.35,4.65,3.0,3.0,0.0,0.0
Desconocido,EL GRAU,POBLATS MARITIMS,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Portable heater"", ""Kitchen"", ""Wine glasses"", ""Single level home"", ""Dishes and silverware"", ""Paid standalone high chair - available upon request"", ""Hot water"", ""Drying rack for clothing"", ""Refrigerator"", ""Heating - split type ductless system"", ""Electric stove"", ""Bed linens"", ""Children\u2019s books and toys"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Fire extinguisher"", ""Mini fridge"", ""Coffee"", ""Private entrance"", ""Pack \u2019n play/Travel crib"", ""Keypad"", ""Self check-in"", ""Paid street parking off premises"", ""Body soap"", ""Cooking basics"", ""Freezer"", ""Coffee maker: espresso machine"", ""Pets allowed"", ""Clothing storage: closet"", ""Essentials"", ""Dining table"", ""Hot water kettle"", ""Extra pillows and blankets"", ""AC - split type ductless system"", ""Iron"", ""Free street parking"", ""Shower gel"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Microwave"", ""Paid crib - available upon request"", ""Portable fans""]",t,20/06/2025,05/04/2024,07/08/2024,Sin licencia,t,f,t,within an hour,18/01/2024,1.1132e+18,557226928,39.45836,-0.33777,3.3,1.0,1.0,2.0,104.0,1.0,365.0,1.0,2.0,365,365,1.2,365.0,9,19,49,182,3.0,2.0,0.0,0.2,3.67,4.33,3.67,4.8,4.0,4.33,4.6,8.0,8.0,0.0,0.0
Desconocido,PATRAIX,PATRAIX,Room in aparthotel,Entire home/apt,1 bath,"[""Backyard"", ""Exterior security cameras on property"", ""Kitchen"", ""Wine glasses"", ""Outdoor dining area"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Heating"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Hangers"", ""Hair dryer"", ""Mini fridge"", ""Stove"", ""Shampoo"", ""Crib"", ""Self check-in"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Pets allowed"", ""Smart lock"", ""Iron"", ""Air conditioning"", ""Smoke alarm"", ""TV"", ""Wifi"", ""Clothing storage"", ""Microwave"", ""First aid kit"", ""Toaster"", ""Hot water kettle""]",t,20/06/2025,31/03/2024,27/04/2025,22000/2024/139142,t,f,t,within an hour,16/03/2024,1.114e+18,567432805,39.46301722,-0.388290058,4.0,1.0,1.0,2.0,214.0,1.0,242.2,1.0,2.0,1,1125,1.3,921.9,25,54,84,173,16.0,15.0,0.0,1.07,4.19,3.81,4.44,4.63,4.38,4.38,4.06,4.0,4.0,0.0,0.0
Desconocido,PATRAIX,PATRAIX,Room in aparthotel,Entire home/apt,1 bath,"[""Backyard"", ""Exterior security cameras on property"", ""Kitchen"", ""Wine glasses"", ""Outdoor dining area"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Heating"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Mini fridge"", ""Stove"", ""Shampoo"", ""Crib"", ""Self check-in"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Pets allowed"", ""Smart lock"", ""Iron"", ""Air conditioning"", ""Smoke alarm"", ""TV"", ""Wifi"", ""Clothing storage"", ""Microwave"", ""First aid kit"", ""Toaster"", ""Hot water kettle""]",t,20/06/2025,07/05/2024,19/05/2025,Sin licencia,t,f,t,within an hour,16/03/2024,1.11403e+18,567432805,39.4630255,-0.388306151,2.0,1.0,1.0,0.0,164.0,1.0,242.2,1.0,2.0,1,1125,1.4,1121.9,23,53,83,174,17.0,16.0,0.0,1.24,4.59,4.47,4.53,4.59,4.76,4.41,4.47,4.0,4.0,0.0,0.0
Desconocido,EL PILAR,CIUTAT VELLA,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Portable heater"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Paid parking garage off premises"", ""Toaster"", ""Shampoo"", ""Coffee"", ""Coffee maker: Nespresso"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Pets allowed"", ""Clothing storage: closet"", ""Conditioner"", ""Dining table"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Shower gel"", ""Wifi"", ""Microwave"", ""Host greets you"", ""Other induction stove"", ""Drying rack for clothing""]",t,20/06/2025,31/03/2024,19/03/2025,ESFCNT00004602500072925800000000000000000000000000009,f,f,t,within an hour,30/05/2015,1.11447e+18,34567385,39.47205302,-0.381665267,5.0,1.0,2.0,4.0,84.0,2.0,365.0,2.0,2.0,365,365,2.0,365.0,6,6,13,13,6.0,1.0,0.0,0.4,4.67,4.5,4.33,4.5,5.0,5.0,4.33,1.0,1.0,0.0,0.0
Desconocido,L'AMISTAT,ALGIROS,Private room in rental unit,Private room,Half-bath,"[""Wifi""]",t,20/06/2025,Sin reseña,Sin reseña,Sin licencia,f,f,t,No especificado,13/02/2024,1.11462e+18,561922875,39.47189,-0.35067,2.0,1.0,1.0,1.0,48.0,1.0,365.0,1.0,1.0,365,365,1.0,365.0,29,59,89,269,0.0,0.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.7,4.6,2.0,0.0,2.0,0.0
Desconocido,L'AMISTAT,ALGIROS,Private room in rental unit,Private room,Half-bath,"[""Wifi""]",t,20/06/2025,Sin reseña,Sin reseña,Sin licencia,f,f,t,No especificado,13/02/2024,1.11462e+18,561922875,39.47092616,-0.351835079,2.0,1.0,1.0,1.0,48.0,1.0,365.0,1.0,1.0,365,365,1.0,365.0,29,59,89,269,0.0,0.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.7,4.6,2.0,0.0,2.0,0.0
"València, Comunidad Valenciana, Spain",NOU MOLES,L'OLIVERETA,Private room in rental unit,Private room,1 shared bath,"[""Cleaning products"", ""Kitchen"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Hair dryer"", ""Stove"", ""Toaster"", ""Room-darkening shades"", ""Cooking basics"", ""Essentials"", ""Elevator"", ""Iron"", ""Shower gel"", ""Wifi"", ""Long term stays allowed"", ""Microwave"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,27/03/2024,09/02/2025,Sin licencia,f,t,t,within a few hours,25/07/2017,1.11471e+18,142495300,39.47080222,-0.402825846,1.0,1.0,1.0,1.0,38.0,5.0,54.0,5.0,5.0,54,54,5.0,54.0,24,32,52,53,8.0,5.0,0.0,0.53,4.88,4.88,5.0,4.88,5.0,4.63,4.88,2.0,0.0,2.0,0.0
Desconocido,LA CREU COBERTA,JESUS,Entire rental unit,Entire home/apt,2 baths,"[""Cleaning products"", ""Kitchen"", ""Bidet"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""LG refrigerator"", ""Fire extinguisher"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Stove"", ""Housekeeping available from 10:00\u202fAM to 2:00\u202fPM, Monday, Wednesday, Friday - available at extra cost"", ""Toaster"", ""Shampoo"", ""Crib"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Pets allowed"", ""Essentials"", ""Conditioner"", ""Dining table"", ""Elevator"", ""Central heating"", ""Iron"", ""Arcade games"", ""Free street parking"", ""Wifi"", ""Clothing storage: wardrobe"", ""Long term stays allowed"", ""TEKA stainless steel single oven"", ""Paid parking lot off premises"", ""Central air conditioning"", ""Microwave"", ""First aid kit"", ""Host greets you"", ""Drying rack for clothing""]",t,20/06/2025,09/04/2024,18/06/2025,CV-VUT004246-V,f,t,t,within an hour,22/08/2022,1.11477e+18,476280863,39.45433435,-0.381480655,4.0,1.0,2.0,2.0,98.0,2.0,242.2,2.0,2.0,1125,1125,2.0,1125.0,0,3,14,159,37.0,33.0,1.0,2.53,4.81,4.86,5.0,4.86,4.92,4.49,4.86,1.0,1.0,0.0,0.0
Desconocido,CIUTAT FALLERA,BENICALAP,Private room in rental unit,Private room,1 shared bath,"[""Kitchen"", ""Wifi"", ""Outdoor dining area"", ""Lock on bedroom door"", ""Dedicated workspace"", ""First aid kit"", ""Washer""]",t,20/06/2025,Sin reseña,Sin reseña,Sin licencia,f,f,t,a few days or more,27/11/2016,1.11489e+18,105339460,39.5,-0.394641459,1.0,1.0,1.0,1.0,30.0,7.0,60.0,7.0,7.0,60,60,7.0,60.0,27,57,87,87,0.0,0.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.7,4.6,1.0,0.0,1.0,0.0
Desconocido,RUSSAFA,L'EIXAMPLE,Entire rental unit,Entire home/apt,2 baths,"[""Exterior security cameras on property"", ""Kitchen"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Single level home"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Dishwasher"", ""Paid parking garage off premises"", ""Toaster"", ""Shampoo"", ""Free dryer \u2013 In unit"", ""Coffee"", ""Safe"", ""Private entrance"", ""Coffee maker: Nespresso"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Pets allowed"", ""Conditioner"", ""Extra pillows and blankets"", ""Central heating"", ""Paid parking on premises"", ""Other stove"", ""Iron"", ""Air conditioning"", ""Smoke alarm"", ""Clothing storage: closet and dresser"", ""TV"", ""Wifi"", ""Crib - available upon request"", ""Standalone high chair - available upon request"", ""Microwave"", ""First aid kit"", ""Host greets you"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,Sin reseña,Sin reseña,VT-54770-V,t,t,t,within an hour,04/10/2018,1.11506e+18,218746122,39.46409551,-0.369964041,5.0,1.0,2.0,4.0,101.4,1.0,365.0,1.0,2.0,365,365,1.9,365.0,11,34,62,306,0.0,0.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.7,4.6,11.0,11.0,0.0,0.0
Desconocido,MONT-OLIVET,QUATRE CARRERES,Entire rental unit,Entire home/apt,2 baths,"[""Cleaning products"", ""Kitchen"", ""Wine glasses"", ""Single level home"", ""Dishes and silverware"", ""Dedicated workspace"", ""Window guards"", ""Shared beach access"", ""Hot water"", ""Refrigerator"", ""50 inch HDTV with Netflix, standard cable"", ""Theme room"", ""Bed linens"", ""Heating - split type ductless system"", ""Babysitter recommendations"", ""Ethernet connection"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Dishwasher"", ""Stainless steel single oven"", ""Outlet covers"", ""Shampoo"", ""Free dryer \u2013 In unit"", ""Toaster"", ""Coffee"", ""Private entrance"", ""Board games"", ""Keypad"", ""Laundromat nearby"", ""Self check-in"", ""Body soap"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Cooking basics"", ""Freezer"", ""Clothing storage: closet"", ""Books and reading material"", ""Essentials"", ""Conditioner"", ""Dining table"", ""Coffee maker"", ""Extra pillows and blankets"", ""AC - split type ductless system"", ""Iron"", ""Arcade games"", ""Smoke alarm"", ""Free street parking"", ""Shower gel"", ""Wifi"", ""Long term stays allowed"", ""Crib - always at the listing"", ""Children\u2019s dinnerware"", ""Bosch induction stove"", ""Microwave"", ""Noise decibel monitors on property"", ""First aid kit"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,01/04/2024,19/05/2025,VT-50468-V,t,f,t,within an hour,18/03/2024,1.11518e+18,567706982,39.4580791,-0.3669351,6.0,1.0,2.0,3.0,104.0,1.0,365.0,2.0,3.0,10,10,2.1,10.0,3,8,26,295,30.0,19.0,0.0,2.02,4.5,4.63,4.47,4.57,4.67,4.47,4.43,3.0,3.0,0.0,0.0
Desconocido,SANT ANTONI,LA SAIDIA,Entire rental unit,Entire home/apt,2 baths,"[""Cleaning products"", ""Sound system"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Ethernet connection"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Stove"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Coffee maker"", ""Elevator"", ""Central heating"", ""Blender"", ""TV"", ""Wifi"", ""Mosquito net"", ""Clothing storage"", ""Microwave"", ""Toaster"", ""Hot water kettle""]",t,20/06/2025,31/03/2024,27/10/2024,Sin licencia,f,t,t,within a few hours,22/06/2015,1.11519e+18,36395275,39.4895396,-0.374126286,4.0,1.0,2.0,3.0,60.0,3.2,80.0,1.9,4.7,80,80,4.0,80.0,0,1,6,37,5.0,3.0,0.0,0.34,5.0,4.6,4.8,5.0,5.0,4.4,4.6,2.0,1.0,1.0,0.0
"València, Comunidad Valenciana, Spain",RUSSAFA,L'EIXAMPLE,Entire rental unit,Entire home/apt,2 baths,"[""Kitchen"", ""Wine glasses"", ""Outdoor dining area"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Housekeeping available 2 hours a day, Monday to Friday - available at extra cost"", ""Hot water"", ""Molton Brown shampoo"", ""Washer"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Toaster"", ""Free dryer \u2013 In unit"", ""Coffee"", ""Safe"", ""Self check-in"", ""Coffee maker: Nespresso"", ""Room-darkening shades"", ""Cooking basics"", ""Smart lock"", ""Elevator"", ""Central heating"", ""Private patio or balcony"", ""Iron"", ""Air conditioning"", ""TV"", ""Wifi"", ""Paid parking lot off premises"", ""Clothing storage"", ""Microwave"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,08/06/2024,29/04/2025,ESHFNT00004605900065825600600000000000000000000000008,f,f,t,within a day,17/05/2021,1.11523e+18,402016170,39.46115075,-0.375180549,4.0,1.0,2.0,2.0,104.0,3.2,60.0,1.9,14.0,60,60,14.0,60.0,0,2,5,5,3.0,2.0,0.0,0.24,5.0,4.67,4.67,4.33,4.67,5.0,4.67,2.0,2.0,0.0,0.0
"València, Comunidad Valenciana, Spain",RUSSAFA,L'EIXAMPLE,Room in boutique hotel,Private room,1 private bath,"[""Cleaning products"", ""Kitchen"", ""Dishes and silverware"", ""Dedicated workspace"", ""Barbecue utensils"", ""Hot water"", ""Heating - split type ductless system"", ""Washer"", ""Bed linens"", ""Shared BBQ grill: charcoal"", ""Hangers"", ""Hair dryer"", ""Crib"", ""Coffee maker: Nespresso"", ""Room-darkening shades"", ""Cooking basics"", ""Pets allowed"", ""Baby bath - available upon request"", ""Essentials"", ""Extra pillows and blankets"", ""Iron"", ""Air conditioning"", ""Smoke alarm"", ""TV"", ""Wifi"", ""Clothing storage: wardrobe"", ""Clamp on table seat high chair - available upon request""]",t,20/06/2025,06/05/2024,02/06/2025,HV-1576,t,f,t,within an hour,20/06/2018,1.11551e+18,196891718,39.4599232,-0.3695779,3.0,1.0,1.0,2.0,123.0,1.0,300.0,1.0,2.0,365,365,1.7,365.0,10,15,36,269,29.0,24.0,3.0,2.12,4.62,4.79,4.72,4.86,4.76,4.62,4.48,6.0,1.0,0.3,0.0
